factor,backdoor_formula,n_controls,controls,treated_n,control_n,propensity_overlap_ratio
EP,"P(label | do(EP)) = Σ_{BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9417759222605334
BP,"P(label | do(BP)) = Σ_{EP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | BP, EP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9903680583171685
MOM20,"P(label | do(MOM20)) = Σ_{EP, BP, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | MOM20, EP, BP, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9793451233937182
MOM60,"P(label | do(MOM60)) = Σ_{EP, BP, MOM20, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | MOM60, EP, BP, MOM20, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9645854016965795
ROE,"P(label | do(ROE)) = Σ_{EP, BP, MOM20, MOM60, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | ROE, EP, BP, MOM20, MOM60, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROA, VOL20, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.19151526272535563
VOL20,"P(label | do(VOL20)) = Σ_{EP, BP, MOM20, MOM60, ROE, ROA, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | VOL20, EP, BP, MOM20, MOM60, ROE, ROA, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROE, ROA, TURN20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'TURN20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9718458267760537
TURN20,"P(label | do(TURN20)) = Σ_{EP, BP, MOM20, MOM60, ROE, ROA, VOL20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | TURN20, EP, BP, MOM20, MOM60, ROE, ROA, VOL20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROE, ROA, VOL20, LIQ20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'LIQ20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9720932834370583
LIQ20,"P(label | do(LIQ20)) = Σ_{EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | LIQ20, EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, GROWTH, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'GROWTH', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9701113102440363
GROWTH,"P(label | do(GROWTH)) = Σ_{EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | GROWTH, EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, REV5, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'REV5', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9318572456645272
REV5,"P(label | do(REV5)) = Σ_{EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star} P(label | REV5, EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star) P(EP, BP, MOM20, MOM60, ROE, ROA, VOL20, TURN20, LIQ20, GROWTH, mkt_ret_20, mkt_vol_20, mkt_trend, ind_main_board, ind_other, ind_sme, ind_star)",17,"['EP', 'BP', 'MOM20', 'MOM60', 'ROE', 'ROA', 'VOL20', 'TURN20', 'LIQ20', 'GROWTH', 'mkt_ret_20', 'mkt_vol_20', 'mkt_trend', 'ind_main_board', 'ind_other', 'ind_sme', 'ind_star']",7275,7276,0.9386566217621195
