edge,stability
pc: maxret_20 -> vol_20,1.0
pc: bp -> ep,0.95
pc: pb -> roe_proxy,0.9
pc: bp -> pb,0.85
pc: turnover -> turnover_20,0.8
pc: maxret_20 -> skew_20,0.8
pc: beta_20 -> vol_20,0.75
pc: vol_20 -> vol_60,0.75
pc: mom_20 -> ret_5,0.75
pc: ret_1 -> ret_5,0.75
pc: price_range -> turnover,0.75
pc: mom_20 -> mom_60,0.65
pc: mom_120 -> mom_60,0.65
pc: turnover_20 -> vol_60,0.65
pc: ret_5 -> turnover_change,0.6
pc: bp -> vol_60,0.55
pc: price_range -> turnover_change,0.55
pc: ep - pe,0.5
pc: ep -> pe,0.5
pc: mom_20 -> skew_20,0.45
pc: price_range - turnover_change,0.4
pc: pb -> pe,0.4
pc: mom_20 - mom_60,0.35
pc: pe -> roe_proxy,0.35
pc: ret_5 - turnover_change,0.35
pc: mom_120 - mom_60,0.35
pc: maxret_20 -> mom_20,0.35
pc: price_range -> vol_20,0.35
pc: ep -> pb,0.3
pc: turnover_20 - vol_60,0.3
pc: beta_20 - vol_20,0.25
pc: mom_20 - ret_5,0.25
pc: vol_20 - vol_60,0.25
pc: ret_1 - ret_5,0.25
pc: mom_120 -> price_range,0.25
pc: bp -> illiq,0.2
pc: turnover - turnover_20,0.2
pc: price_range - turnover,0.2
pc: mom_60 -> roe_proxy,0.2
pc: illiq -> price_range,0.2
pc: mom_20 -> turnover_change,0.2
pc: skew_20 -> vol_20,0.2
pc: maxret_20 - skew_20,0.2
pc: ret_5 -> roe_proxy,0.15
pc: bp - pb,0.15
pc: label -> mom_60,0.15
pc: price_range -> vol_60,0.15
pc: turnover -> turnover_change,0.15
pc: beta_20 - label,0.1
pc: mom_120 -> size,0.1
pc: illiq -> ret_5,0.1
pc: maxret_20 -> vol_60,0.1
pc: beta_20 -> label,0.1
pc: pe -> vol_60,0.1
pc: pb - roe_proxy,0.1
pc: mom_20 - skew_20,0.1
pc: bp -> mom_120,0.1
pc: mom_20 -> ret_1,0.1
pc: mom_60 -> ret_5,0.1
pc: label -> ret_1,0.1
pc: illiq -> size,0.1
pc: maxret_20 - mom_20,0.1
pc: pe -> ret_5,0.05
pc: mom_20 -> size,0.05
pc: ret_1 -> size,0.05
pc: price_range -> ret_1,0.05
pc: mom_60 -> turnover,0.05
pc: beta_20 -> size,0.05
pc: pb - vol_60,0.05
pc: bp - ep,0.05
pc: label -> mom_120,0.05
pc: size -> turnover_20,0.05
pc: size -> vol_20,0.05
pc: illiq -> turnover_change,0.05
pc: ep -> price_range,0.05
pc: ep -> vol_60,0.05
pc: turnover_20 -> turnover_change,0.05
pc: maxret_20 -> ret_5,0.05
pc: mom_20 - ret_1,0.05
pc: pb -> size,0.05
pc: mom_120 -> pb,0.05
pc: pe - roe_proxy,0.05
pc: roe_proxy -> turnover_20,0.05
pc: maxret_20 -> price_range,0.05
pc: bp -> price_range,0.05
pc: label - roe_proxy,0.05
pc: mom_120 -> mom_20,0.05
pc: roe_proxy -> size,0.05
pc: ret_1 - turnover_change,0.05
pc: ep -> size,0.05
pc: label - size,0.05
pc: price_range - vol_20,0.05
pc: mom_20 - turnover_change,0.05
