edge,stability
fci: BP -> EP,0.83
fci: LIQ20 <-> ROE,0.71
fci: EP <-> ROE,0.47
fci: MOM20 o-> REV5,0.47
fci: MOM20 o-o MOM60,0.46
fci: BP o-> VOL20,0.45
fci: BP <-> LIQ20,0.45
fci: BP -> ROE,0.43
fci: BP <-> ROE,0.41
fci: LIQ20 <-> TURN20,0.41
fci: MOM20 o-o REV5,0.4
fci: TURN20 -> VOL20,0.39
fci: LIQ20 o-> TURN20,0.35
fci: MOM20 o-> MOM60,0.34
fci: TURN20 o-> VOL20,0.32
fci: BP -> VOL20,0.26
fci: EP -> ROE,0.25
fci: TURN20 o-o VOL20,0.24
fci: GROWTH o-> ROE,0.24
fci: BP <-> VOL20,0.22
fci: LIQ20 -> TURN20,0.22
fci: EP o-> GROWTH,0.22
fci: EP o-> ROE,0.16
fci: MOM20 o-> VOL20,0.15
fci: MOM20 -> MOM60,0.14
fci: BP -> LIQ20,0.12
fci: VOL20 o-> label,0.12
fci: MOM20 -> VOL20,0.1
fci: MOM60 o-> VOL20,0.1
fci: BP o-> ROE,0.1
fci: MOM60 o-> TURN20,0.1
fci: LIQ20 o-> label,0.09
fci: BP o-> EP,0.09
fci: MOM20 <-> VOL20,0.09
fci: MOM60 o-o VOL20,0.09
fci: MOM20 <-> ROE,0.08
fci: MOM20 -> REV5,0.07
fci: REV5 o-> label,0.07
fci: LIQ20 o-> ROE,0.06
fci: GROWTH o-> TURN20,0.06
fci: MOM20 <-> MOM60,0.06
fci: MOM20 <-> REV5,0.06
fci: REV5 <-> label,0.06
fci: BP o-o EP,0.05
fci: TURN20 <-> VOL20,0.05
fci: EP o-o ROE,0.05
fci: REV5 <-> VOL20,0.05
fci: BP o-> LIQ20,0.05
fci: VOL20 o-o label,0.05
fci: REV5 o-> VOL20,0.04
fci: TURN20 o-> label,0.04
fci: BP <-> label,0.04
fci: MOM60 <-> TURN20,0.04
fci: MOM20 -> TURN20,0.04
fci: VOL20 -> label,0.03
fci: GROWTH o-> MOM60,0.03
fci: REV5 <-> ROE,0.03
fci: GROWTH <-> ROE,0.03
fci: LIQ20 -> ROE,0.03
fci: REV5 o-> ROE,0.03
fci: MOM60 -> VOL20,0.03
fci: MOM20 o-o VOL20,0.03
fci: BP <-> EP,0.03
fci: EP <-> VOL20,0.03
fci: BP o-> label,0.03
fci: EP -> VOL20,0.03
fci: EP <-> GROWTH,0.02
fci: MOM60 o-o TURN20,0.02
fci: LIQ20 o-o TURN20,0.02
fci: REV5 o-o VOL20,0.02
fci: MOM60 <-> ROE,0.02
fci: GROWTH o-> label,0.02
fci: VOL20 <-> label,0.02
fci: GROWTH <-> REV5,0.02
fci: MOM60 -> TURN20,0.02
fci: GROWTH <-> MOM60,0.02
fci: BP o-o ROE,0.02
fci: GROWTH -> ROE,0.01
fci: EP <-> MOM60,0.01
fci: TURN20 <-> label,0.01
fci: MOM20 <-> label,0.01
fci: MOM60 <-> label,0.01
fci: LIQ20 <-> label,0.01
fci: EP o-> MOM60,0.01
fci: EP <-> LIQ20,0.01
fci: GROWTH o-> MOM20,0.01
fci: GROWTH o-> REV5,0.01
fci: LIQ20 <-> MOM20,0.01
fci: MOM20 <-> TURN20,0.01
fci: EP o-> VOL20,0.01
fci: GROWTH o-o ROE,0.01
fci: BP <-> GROWTH,0.01
fci: MOM60 <-> VOL20,0.01
fci: BP o-o label,0.01
