edge,stability
pc: EP -> ROE,0.998
pc: BP -> ROE,0.966
pc: LIQ20 -> ROE,0.959
pc: BP -> EP,0.925
pc: LIQ20 -> TURN20,0.722
pc: BP -> VOL20,0.708
pc: BP -> LIQ20,0.697
pc: GROWTH -> ROE,0.679
pc: MOM20 - REV5,0.662
pc: MOM20 - MOM60,0.652
pc: EP -> GROWTH,0.627
pc: EP -> VOL20,0.605
pc: TURN20 -> VOL20,0.553
pc: TURN20 - VOL20,0.447
pc: MOM60 -> VOL20,0.435
pc: MOM20 -> MOM60,0.348
pc: MOM20 -> REV5,0.338
pc: VOL20 -> label,0.328
pc: MOM60 - VOL20,0.313
pc: LIQ20 - TURN20,0.278
pc: MOM20 -> VOL20,0.233
pc: LIQ20 -> label,0.146
pc: REV5 -> VOL20,0.12
pc: MOM20 - VOL20,0.108
pc: BP -> label,0.104
pc: GROWTH - ROE,0.087
pc: GROWTH -> TURN20,0.081
pc: BP -> TURN20,0.079
pc: REV5 -> ROE,0.077
pc: BP - EP,0.075
pc: GROWTH - label,0.067
pc: LIQ20 -> MOM20,0.059
pc: VOL20 - label,0.056
pc: REV5 -> label,0.051
pc: MOM60 -> label,0.04
pc: LIQ20 - ROE,0.038
pc: TURN20 -> label,0.035
pc: BP - VOL20,0.034
pc: BP - ROE,0.033
pc: MOM60 -> REV5,0.025
pc: MOM60 - REV5,0.023
pc: GROWTH -> label,0.022
pc: BP - LIQ20,0.022
pc: BP -> MOM60,0.022
pc: EP -> MOM60,0.021
pc: LIQ20 - label,0.019
pc: GROWTH -> MOM20,0.018
pc: GROWTH -> REV5,0.017
pc: GROWTH -> MOM60,0.014
pc: MOM60 -> ROE,0.013
pc: MOM20 -> ROE,0.013
pc: MOM20 -> TURN20,0.01
pc: EP -> LIQ20,0.01
pc: REV5 - label,0.01
pc: MOM20 -> label,0.01
pc: REV5 -> TURN20,0.01
pc: MOM60 -> TURN20,0.01
pc: BP -> REV5,0.007
pc: BP -> GROWTH,0.007
pc: BP - label,0.007
pc: MOM60 - label,0.004
pc: GROWTH - REV5,0.003
pc: REV5 - VOL20,0.003
pc: ROE -> label,0.002
pc: MOM60 - TURN20,0.002
pc: LIQ20 - REV5,0.001
pc: REV5 - ROE,0.001
pc: EP -> TURN20,0.001
pc: EP - ROE,0.001
pc: REV5 - TURN20,0.001
pc: LIQ20 -> VOL20,0.001
pc: GROWTH - TURN20,0.001
pc: LIQ20 -> REV5,0.001
pc: TURN20 - label,0.001
