factor,method,ate,se,tvalue,pvalue,ci_lower,ci_upper,ols_beta,ols_se,ols_pvalue,n,resid_D_mean,resid_D_std,econml_used,propensity_overlap,dml_balanced,dml_overlap_ok,dml_valid,first_stage_f,first_stage_f_pvalue,sargan_stat,sargan_pvalue,iv_valid,beta1,beta2,beta1_pvalue,beta2_pvalue,identification_pass,fd_valid,ite_mean,ite_std,ite_q10,ite_q90,cf_valid,ite_q01,ite_q99
EP,DML,-0.006105879574182994,0.007063883585680483,-0.8643799830677417,0.38755164513595197,-0.019964792107490005,0.007753032959124018,-0.008938318733739318,0.005514762296533178,0.1053264440112127,1204,-0.005957062615611237,0.4362977030810616,False,0.9062405368753945,True,True,True,,,,,,,,,,,,,,,,,,
EP,IV,-0.009900847713442762,0.006361587153125966,-1.5563486713496755,0.11997793489768642,-0.022386176071106843,0.002584480644221317,,,,914,,,,,,,,2678.6488356787268,0.0,0.26927910666440535,0.6038157639859751,False,,,,,,,,,,,,,
EP,FrontDoor,-0.001501001618648942,0.002190617524330661,-0.6851956592046209,0.4933525743324292,-0.005794611966337038,0.002792608729039154,,,,1204,,,,,,,,,,,,,-0.0016566090472738344,0.9060687077129244,0.4928959123938736,4.3728712127546134e-46,False,False,,,,,,,
EP,CausalForest,-0.006088922947184503,0.007045560394509264,-0.8642212409292117,0.38763879065683027,-0.01989822132042266,0.007720375426053654,,,,1204,,,False,,,,,,,,,,,,,,,,0.00601773446866978,0.439669782505872,-0.2356364879100155,0.19660574087543017,True,-1.6126236484184067,2.5613756446175
BP,DML,-0.0010041983783759124,0.006446648165246646,-0.15577061949641735,0.8762399853500978,-0.013652132333044943,0.01164373557629312,0.0059124428763691565,0.005904001474602109,0.3168231733304167,1204,-0.003847641580332725,0.47819998254178675,False,0.9527783798327366,True,True,True,,,,,,,,,,,,,,,,,,
BP,IV,0.006896733810293195,0.006556769978752342,1.0518492844254914,0.29315197647103464,-0.0059716627360263735,0.019765130356612762,,,,914,,,,,,,,12733.269580675504,0.0,8.719561939152243e-08,0.9997643934343974,False,,,,,,,,,,,,,
BP,FrontDoor,-0.0014541176893673304,0.0023447841565138313,-0.6201499124462174,0.5352766425794517,-0.0060498946361344395,0.003141659257399779,,,,1204,,,,,,,,,,,,,-0.0016048647050595306,0.9060687077128982,0.5349236553372497,4.372871212774751e-46,False,False,,,,,,,
BP,CausalForest,-0.0009922799101000353,0.006437702246199192,-0.15413572609479967,0.8775285939683193,-0.013610176312650452,0.011625616492450381,,,,1204,,,False,,,,,,,,,,,,,,,,-0.03694822245826961,0.6352915643300584,-0.31634946393289226,0.26254798219557507,True,-3.459242075785934,2.5199836677659238
MOM20,DML,-0.00447305042043281,0.0036869732328988513,-1.2132039312137648,0.22529021721924342,-0.01170666899973263,0.0027605681588670087,-0.0018205262396176463,0.0037805542599821146,0.6302143526111945,1204,0.0002479818161184129,0.8368099125445184,False,0.9082346869032573,True,True,True,,,,,,,,,,,,,,,,,,
MOM20,IV,-0.023933647545794676,0.009077215823004605,-2.636672743325003,0.00851710063166658,-0.04174870177607544,-0.006118593315513916,,,,914,,,,,,,,115.4584126808362,2.4346337585851456e-45,1.2986981638320083,0.2544511559253778,True,,,,,,,,,,,,,
MOM20,FrontDoor,0.001139451173696514,0.00150210146657311,0.7585713742068668,0.44825771374795487,-0.0018046677007867815,0.00408357004817981,,,,1204,,,,,,,,,,,,,0.0012575770071264814,0.9060687077128734,0.44766964532108766,4.372871212792214e-46,False,False,,,,,,,
MOM20,CausalForest,-0.004513652713020865,0.0036806959290608936,-1.2263041555221583,0.22032441401840247,-0.011727816733980217,0.0027005113079384864,,,,1204,,,False,,,,,,,,,,,,,,,,-0.08180080691959928,0.8264506995216301,-0.3771447148632561,0.2787542224688902,True,-5.59822939072214,2.67204312129396
MOM60,DML,-0.00503323820560177,0.003671255933043628,-1.3709853786818398,0.17063543186761435,-0.012236020392807747,0.002169543981604207,-0.006191648354694377,0.0037717336739107776,0.10093945584319709,1204,-0.005416931521959621,0.8399301184725353,False,0.9625624386756861,True,True,True,,,,,,,,,,,,,,,,,,
MOM60,IV,-0.02461043896527509,0.005824841955390503,-4.225082698166561,2.632660026882754e-05,-0.0360423446664825,-0.013178533264067684,,,,914,,,,,,,,428.8916438300122,2.1516564377462325e-131,0.2600750447015401,0.6100686027805428,True,,,,,,,,,,,,,
MOM60,FrontDoor,-0.0030085013302477005,0.0015102312879588192,-1.9920798583863903,0.04658820805785835,-0.005968554654646986,-4.844800584841505e-05,,,,1204,,,,,,,,,,,,,-0.0033203898386931266,0.9060687077128924,0.04464051042124457,4.3728712127794705e-46,False,False,,,,,,,
MOM60,CausalForest,-0.004991013457753802,0.003667197226349642,-1.36098855602645,0.17377240762252533,-0.012178720021399098,0.0021966931058914957,,,,1204,,,False,,,,,,,,,,,,,,,,-0.009236066417782997,0.5843954623674623,-0.2548614308745506,0.27630454694270656,True,-3.0005620524949426,2.479347129324119
ROE,DML,-0.006880870646221645,0.005967819277141454,-1.152995814162378,0.2491413345250972,-0.018589371271026243,0.004827629978582956,-0.0011753706502304674,0.004925183219091483,0.8114220136395514,1204,-0.002636386283031853,0.517100709158482,False,0.9204593204659531,True,True,True,,,,,,,,,,,,,,,,,,
ROE,IV,-0.006357261301464584,0.005728193887673405,-1.1098195043894865,0.26737424458743364,-0.017599484328908923,0.004884961725979756,,,,914,,,,,,,,2211.461364073135,0.0,3.1053431964879605,0.07803578256316301,False,,,,,,,,,,,,,
ROE,FrontDoor,0.0018443671874781803,0.0019582696841800675,0.9418351325039388,0.3464663011032154,-0.0019938413935147517,0.005682575768471113,,,,1204,,,,,,,,,,,,,0.0020355710022628877,0.9060687077128966,0.3455019729076142,4.372871212772705e-46,False,False,,,,,,,
ROE,CausalForest,-0.007046027808178899,0.005943839066676379,-1.1854338129176218,0.23608026792415504,-0.0186959523788646,0.004603896762506804,,,,1204,,,False,,,,,,,,,,,,,,,,0.023146375294913247,0.5134842650094126,-0.17968892114401025,0.18533496322236467,True,-2.057953495271802,3.0441735057022603
