factor,n_methods_significant,sign_consistent,mean_ate,std_ate,cv,consistency_label
TURN20,2,True,0.01451046284389284,0.008550874168187204,0.5892902425084321,一致
MOM20,1,False,-0.00794522487638796,0.009513052629881225,1.1973295630879648,部分一致
MOM60,1,False,-0.009410797989719591,0.008813569272352155,0.936537930362563,部分一致
GROWTH,0,False,0.0027436656398712976,0.0021659827545993386,0.7894485111899213,不一致
EP,0,False,-0.005899162963364801,0.0029764091058609005,0.5045477001305281,不一致
BP,0,False,0.0008615344581124792,0.0034893933146620407,4.050207489444928,不一致
LIQ20,0,False,-0.004918046901190553,0.0031217142201294093,0.6347467364277696,不一致
REV5,0,False,0.00545466817738508,0.008377048712363307,1.5357577106329483,不一致
ROA,0,False,-0.004609948390838038,0.0037350659273953277,0.8102185991536304,不一致
ROE,0,False,-0.004609948142096736,0.003735065689172204,0.8102185911951255,不一致
VOL20,0,False,-0.0011883507552025176,0.008421284953365514,7.086531410442338,不一致
