i,j,fisherz,kci,dcorr,agreement
EP,BP,1,1,1,3
EP,MOM20,0,0,0,0
EP,MOM60,0,0,0,0
EP,ROE,1,0,1,2
EP,VOL20,0,0,1,1
EP,TURN20,0,0,1,1
EP,LIQ20,0,0,1,1
EP,GROWTH,0,0,1,1
EP,REV5,0,0,0,0
EP,label,0,0,0,0
BP,MOM20,0,0,1,1
BP,MOM60,0,0,1,1
BP,ROE,1,1,1,3
BP,VOL20,1,0,1,2
BP,TURN20,0,0,1,1
BP,LIQ20,1,0,1,2
BP,GROWTH,0,0,1,1
BP,REV5,0,0,1,1
BP,label,0,0,0,0
MOM20,MOM60,1,1,1,3
MOM20,ROE,0,0,0,0
MOM20,VOL20,1,0,1,2
MOM20,TURN20,0,0,1,1
MOM20,LIQ20,0,0,0,0
MOM20,GROWTH,0,0,0,0
MOM20,REV5,1,1,1,3
MOM20,label,0,0,0,0
MOM60,ROE,0,0,0,0
MOM60,VOL20,1,0,1,2
MOM60,TURN20,0,0,1,1
MOM60,LIQ20,0,0,0,0
MOM60,GROWTH,0,0,0,0
MOM60,REV5,0,0,1,1
MOM60,label,0,0,0,0
ROE,VOL20,0,0,0,0
ROE,TURN20,0,0,0,0
ROE,LIQ20,1,0,1,2
ROE,GROWTH,1,0,1,2
ROE,REV5,0,0,0,0
ROE,label,0,0,0,0
VOL20,TURN20,1,1,1,3
VOL20,LIQ20,0,0,1,1
VOL20,GROWTH,0,0,1,1
VOL20,REV5,0,1,1,2
VOL20,label,0,0,1,1
TURN20,LIQ20,1,1,1,3
TURN20,GROWTH,0,0,0,0
TURN20,REV5,0,0,0,0
TURN20,label,0,0,0,0
LIQ20,GROWTH,0,0,0,0
LIQ20,REV5,0,0,0,0
LIQ20,label,0,0,0,0
GROWTH,REV5,0,0,0,0
GROWTH,label,0,0,0,0
REV5,label,0,0,0,0
