portfolio,one_way_cost_bps,annual_return,sharpe,max_drawdown
全因子等权,0,-0.2697421680982759,-1.0050318119972772,-0.47010971613339564
因果显著因子,0,0.08936479073464287,0.33067093098735884,-0.2697750895896976
IC显著因子,0,-0.15338096234967713,-0.8923262880521448,-0.27226424567606056
全因子等权,10,-0.27682365606109427,-1.0312419123040677,-0.4786542950179144
因果显著因子,10,0.07342934324669326,0.27184411925789703,-0.2730579710225297
IC显著因子,10,-0.1606007450107385,-0.9343916240239344,-0.2753580455125939
全因子等权,20,-0.2838425021264692,-1.0572035180576154,-0.48706835210086874
因果显著因子,20,0.05770649848754128,0.21374128633419587,-0.27633101159509815
IC显著因子,20,-0.16776440380146718,-0.976122960986712,-0.27844135606000375
全因子等权,30,-0.2907992071646859,-1.0829181650123627,-0.4953537702527522
因果显著因子,30,0.04219369309976617,0.1563569840243008,-0.27959422605806916
IC显著因子,30,-0.1748723328024695,-1.0175208569477094,-0.28151420390846327
