factor,group,low_crowd_ic,high_crowd_ic,crowding_decay,t_stat,p_value
EP,其他,0.01900025631830971,0.017164706625287917,-0.0018355496930217916,0.03531229552613445,0.9723520869605172
BP,其他,0.09012426429925154,0.003803529256566841,-0.0863207350426847,1.4480705588661138,0.16425556427282875
MOM20,因果显著组,0.07084592756734175,-0.02955934512804724,-0.10040527269538899,1.0443990249751813,0.3097915492974035
MOM60,因果显著组,0.007532583961611841,0.04134131769359583,0.03380873373198399,-0.3713221179534397,0.7141939010905531
ROE,IC显著组,-0.04640027002726172,-0.11668681511775837,-0.07028654509049664,1.374669532647645,0.18621502395390718
ROA,其他,-0.04640027002726172,-0.11668681511775837,-0.07028654509049664,1.374669532647645,0.18621502395390718
VOL20,其他,0.00581370131421588,-0.11159267174466643,-0.11740637305888231,1.3228089824492526,0.2002396210861212
TURN20,因果显著组,-0.02227237250603852,-0.035218789067855756,-0.012946416561817237,0.16084300012817795,0.8739469907667256
LIQ20,其他,-0.0030557796281574373,0.018387369702490688,0.021443149330648125,-0.2980253459305791,0.7699861425173278
GROWTH,其他,-0.030532800234519573,-0.044472847284112,-0.013940047049592428,0.34895874436368707,0.7311270248410927
REV5,其他,-0.11061365151961262,0.09771034279730469,0.2083239943169173,-2.7393841432866073,0.013693132227593854
