edge,stability,directed_stability,direction_certain
pc: EP -> ROE,0.998,1.0,True
pc: BP -> ROE,0.966,1.0,True
pc: LIQ20 -> ROE,0.959,1.0,True
pc: BP -> EP,0.925,1.0,True
pc: LIQ20 -> TURN20,0.722,1.0,True
pc: BP -> VOL20,0.708,1.0,True
pc: BP -> LIQ20,0.697,1.0,True
pc: GROWTH -> ROE,0.679,1.0,True
pc: MOM20 - REV5,0.662,0.0,False
pc: MOM20 - MOM60,0.652,0.0,False
pc: EP -> GROWTH,0.627,1.0,True
pc: EP -> VOL20,0.605,1.0,True
pc: TURN20 -> VOL20,0.553,1.0,True
pc: TURN20 - VOL20,0.447,0.0,False
pc: MOM60 -> VOL20,0.435,1.0,True
pc: MOM20 -> MOM60,0.348,1.0,True
pc: MOM20 -> REV5,0.338,1.0,True
pc: VOL20 -> label,0.328,1.0,True
pc: MOM60 - VOL20,0.313,0.0,False
pc: LIQ20 - TURN20,0.278,0.0,False
pc: MOM20 -> VOL20,0.233,1.0,True
pc: LIQ20 -> label,0.146,1.0,True
pc: REV5 -> VOL20,0.12,1.0,True
pc: MOM20 - VOL20,0.108,0.0,False
pc: BP -> label,0.104,1.0,True
pc: GROWTH - ROE,0.087,0.0,False
pc: GROWTH -> TURN20,0.081,1.0,True
pc: BP -> TURN20,0.079,1.0,True
pc: REV5 -> ROE,0.077,1.0,True
pc: BP - EP,0.075,0.0,False
pc: GROWTH - label,0.067,0.0,False
pc: LIQ20 -> MOM20,0.059,1.0,True
pc: VOL20 - label,0.056,0.0,False
pc: REV5 -> label,0.051,1.0,True
pc: MOM60 -> label,0.04,1.0,True
pc: LIQ20 - ROE,0.038,0.0,False
pc: TURN20 -> label,0.035,1.0,True
pc: BP - VOL20,0.034,0.0,False
pc: BP - ROE,0.033,0.0,False
pc: MOM60 -> REV5,0.025,1.0,True
pc: MOM60 - REV5,0.023,0.0,False
pc: GROWTH -> label,0.022,1.0,True
pc: BP - LIQ20,0.022,0.0,False
pc: BP -> MOM60,0.022,1.0,True
pc: EP -> MOM60,0.021,1.0,True
pc: LIQ20 - label,0.019,0.0,False
pc: GROWTH -> MOM20,0.018,1.0,True
pc: GROWTH -> REV5,0.017,1.0,True
pc: GROWTH -> MOM60,0.014,1.0,True
pc: MOM60 -> ROE,0.013,1.0,True
pc: MOM20 -> ROE,0.013,1.0,True
pc: MOM20 -> TURN20,0.01,1.0,True
pc: EP -> LIQ20,0.01,1.0,True
pc: REV5 - label,0.01,0.0,False
pc: MOM20 -> label,0.01,1.0,True
pc: REV5 -> TURN20,0.01,1.0,True
pc: MOM60 -> TURN20,0.01,1.0,True
pc: BP -> REV5,0.007,1.0,True
pc: BP -> GROWTH,0.007,1.0,True
pc: BP - label,0.007,0.0,False
pc: MOM60 - label,0.004,0.0,False
pc: GROWTH - REV5,0.003,0.0,False
pc: REV5 - VOL20,0.003,0.0,False
pc: ROE -> label,0.002,1.0,True
pc: MOM60 - TURN20,0.002,0.0,False
pc: LIQ20 - REV5,0.001,0.0,False
pc: REV5 - ROE,0.001,0.0,False
pc: EP -> TURN20,0.001,1.0,True
pc: EP - ROE,0.001,0.0,False
pc: REV5 - TURN20,0.001,0.0,False
pc: LIQ20 -> VOL20,0.001,1.0,True
pc: GROWTH - TURN20,0.001,0.0,False
pc: LIQ20 -> REV5,0.001,1.0,True
pc: TURN20 - label,0.001,0.0,False
