trade_date,factor,group,rolling_ic
2023-01-10,EP,其他,-0.027219110245303223
2023-02-14,EP,其他,0.006417189763573401
2023-03-14,EP,其他,0.034814900100614964
2023-04-12,EP,其他,0.08051060161935975
2023-05-15,EP,其他,0.04378994568513328
2023-06-12,EP,其他,-0.01355164529172657
2023-07-12,EP,其他,-0.021310508032587678
2023-08-09,EP,其他,0.03458922321788826
2023-09-06,EP,其他,0.057627478334819376
2023-10-12,EP,其他,0.007905682274926704
2023-11-09,EP,其他,-0.0434743139115068
2023-12-07,EP,其他,0.04572165889812139
2024-01-05,EP,其他,0.13583691808300452
2024-02-02,EP,其他,0.10633419613697731
2024-03-11,EP,其他,0.02693803275390647
2024-04-10,EP,其他,-0.02052986689423275
2024-05-13,EP,其他,0.0776078048261684
2024-06-11,EP,其他,0.06882941562075238
2024-07-09,EP,其他,0.02316666969029818
2024-08-06,EP,其他,-0.005041531640616483
2024-09-03,EP,其他,-0.005012926069555019
2024-10-10,EP,其他,-0.07829305462394771
2024-11-07,EP,其他,-0.07914516792379837
2023-01-10,BP,其他,0.016329315281337558
2023-02-14,BP,其他,0.0708194415826935
2023-03-14,BP,其他,0.08903297029822381
2023-04-12,BP,其他,0.16686356718923265
2023-05-15,BP,其他,0.09917724217100414
2023-06-12,BP,其他,0.01439822456773134
2023-07-12,BP,其他,0.02727133061351103
2023-08-09,BP,其他,0.060436422512411346
2023-09-06,BP,其他,0.10845683867759
2023-10-12,BP,其他,0.006908294096239044
2023-11-09,BP,其他,0.014083568972296677
2023-12-07,BP,其他,0.024358221313671633
2024-01-05,BP,其他,0.08486710922961137
2024-02-02,BP,其他,-0.02757272664933393
2024-03-11,BP,其他,-0.07053088024109354
2024-04-10,BP,其他,-0.1412571760096346
2024-05-13,BP,其他,-0.03117683389254026
2024-06-11,BP,其他,-0.034622401332732915
2024-07-09,BP,其他,0.0629179843831836
2024-08-06,BP,其他,0.04341061920062875
2024-09-03,BP,其他,0.1739376694777053
2024-10-10,BP,其他,0.14498164911944136
2024-11-07,BP,其他,0.16887207776815558
2023-01-10,MOM20,因果显著组,-0.1433379251870519
2023-02-14,MOM20,因果显著组,-0.008131996546978285
2023-03-14,MOM20,因果显著组,0.08425521371035756
2023-04-12,MOM20,因果显著组,0.14327331207573316
2023-05-15,MOM20,因果显著组,0.07267644148744012
2023-06-12,MOM20,因果显著组,-0.053412829455432735
2023-07-12,MOM20,因果显著组,-0.14192247800237345
2023-08-09,MOM20,因果显著组,-0.11673366430886271
2023-09-06,MOM20,因果显著组,-0.04572054179437072
2023-10-12,MOM20,因果显著组,0.08362124386944585
2023-11-09,MOM20,因果显著组,0.1387314346450448
2023-12-07,MOM20,因果显著组,0.14744373384522216
2024-01-05,MOM20,因果显著组,0.20106015021289134
2024-02-02,MOM20,因果显著组,0.040055434441227555
2024-03-11,MOM20,因果显著组,0.001151768314538857
2024-04-10,MOM20,因果显著组,-0.10472376524499383
2024-05-13,MOM20,因果显著组,0.07304078550082807
2024-06-11,MOM20,因果显著组,0.16222886862597702
2024-07-09,MOM20,因果显著组,0.009351062834397647
2024-08-06,MOM20,因果显著组,-0.11043978851924523
2024-09-03,MOM20,因果显著组,-0.2725534058184109
2024-10-10,MOM20,因果显著组,0.05817302896255666
2024-11-07,MOM20,因果显著组,0.08309013258474664
2023-01-10,MOM60,因果显著组,-0.05645674801101968
2023-02-14,MOM60,因果显著组,-0.00034137107585258814
2023-03-14,MOM60,因果显著组,0.09139335748990612
2023-04-12,MOM60,因果显著组,0.1316417854461615
2023-05-15,MOM60,因果显著组,0.19798099158992222
2023-06-12,MOM60,因果显著组,0.03498183664526975
2023-07-12,MOM60,因果显著组,-0.06702694629395317
2023-08-09,MOM60,因果显著组,-0.14129493195730494
2023-09-06,MOM60,因果显著组,-0.10639378284638756
2023-10-12,MOM60,因果显著组,-0.031530278856549264
2023-11-09,MOM60,因果显著组,0.027038643570602927
2023-12-07,MOM60,因果显著组,0.0758377736571073
2024-01-05,MOM60,因果显著组,0.10972916558170942
2024-02-02,MOM60,因果显著组,-0.043544752372065156
2024-03-11,MOM60,因果显著组,0.030764446499789905
2024-04-10,MOM60,因果显著组,0.02443613279668201
2024-05-13,MOM60,因果显著组,0.11320886140002183
2024-06-11,MOM60,因果显著组,0.14758468766978977
2024-07-09,MOM60,因果显著组,-0.0005371116385250082
2024-08-06,MOM60,因果显著组,0.0009087310105510433
2024-09-03,MOM60,因果显著组,-0.19025930343651273
2024-10-10,MOM60,因果显著组,0.09579614626879947
2024-11-07,MOM60,因果显著组,0.027645204865139123
2023-01-10,ROE,IC显著组,-0.10434132197653069
2023-02-14,ROE,IC显著组,-0.15882348109299785
2023-03-14,ROE,IC显著组,-0.17894865890245448
2023-04-12,ROE,IC显著组,-0.19371958690000393
2023-05-15,ROE,IC显著组,-0.1737554191501186
2023-06-12,ROE,IC显著组,-0.09035181721997566
2023-07-12,ROE,IC显著组,-0.07058027801064297
2023-08-09,ROE,IC显著组,-0.0006955765424048488
2023-09-06,ROE,IC显著组,-0.0352493091656834
2023-10-12,ROE,IC显著组,-0.04884394938841524
2023-11-09,ROE,IC显著组,-0.12376925836991114
2023-12-07,ROE,IC显著组,-0.0515009733631434
2024-01-05,ROE,IC显著组,-0.006127253830220489
2024-02-02,ROE,IC显著组,0.07477236249260148
2024-03-11,ROE,IC显著组,0.04389422047191308
2024-04-10,ROE,IC显著组,0.032515590994319006
2024-05-13,ROE,IC显著组,-0.012527785384848231
2024-06-11,ROE,IC显著组,-0.0530887773745623
2024-07-09,ROE,IC显著组,-0.12731323734245223
2024-08-06,ROE,IC显著组,-0.06931379333147104
2024-09-03,ROE,IC显著组,-0.10573687323164442
2024-10-10,ROE,IC显著组,-0.13480330105399893
2024-11-07,ROE,IC显著组,-0.20228094452600986
2023-01-10,ROA,其他,-0.10434132197653069
2023-02-14,ROA,其他,-0.15882348109299785
2023-03-14,ROA,其他,-0.17894865890245448
2023-04-12,ROA,其他,-0.19371958690000393
2023-05-15,ROA,其他,-0.1737554191501186
2023-06-12,ROA,其他,-0.09035181721997566
2023-07-12,ROA,其他,-0.07058027801064297
2023-08-09,ROA,其他,-0.0006955765424048488
2023-09-06,ROA,其他,-0.0352493091656834
2023-10-12,ROA,其他,-0.04884394938841524
2023-11-09,ROA,其他,-0.12376925836991114
2023-12-07,ROA,其他,-0.0515009733631434
2024-01-05,ROA,其他,-0.006127253830220489
2024-02-02,ROA,其他,0.07477236249260148
2024-03-11,ROA,其他,0.04389422047191308
2024-04-10,ROA,其他,0.032515590994319006
2024-05-13,ROA,其他,-0.012527785384848231
2024-06-11,ROA,其他,-0.0530887773745623
2024-07-09,ROA,其他,-0.12731323734245223
2024-08-06,ROA,其他,-0.06931379333147104
2024-09-03,ROA,其他,-0.10573687323164442
2024-10-10,ROA,其他,-0.13480330105399893
2024-11-07,ROA,其他,-0.20228094452600986
2023-01-10,VOL20,其他,-0.13893079599712385
2023-02-14,VOL20,其他,-0.1901316878876798
2023-03-14,VOL20,其他,-0.04074191709628198
2023-04-12,VOL20,其他,-0.07500011537671457
2023-05-15,VOL20,其他,0.07540583925976894
2023-06-12,VOL20,其他,-0.05282642541402274
2023-07-12,VOL20,其他,-0.02453844705870815
2023-08-09,VOL20,其他,-0.13606327137015425
2023-09-06,VOL20,其他,-0.12289912440925692
2023-10-12,VOL20,其他,-0.03706838237922453
2023-11-09,VOL20,其他,0.012767936395884026
2023-12-07,VOL20,其他,-0.0736158299846977
2024-01-05,VOL20,其他,-0.18610923355302997
2024-02-02,VOL20,其他,-0.08875266003466724
2024-03-11,VOL20,其他,-0.05254556567007277
2024-04-10,VOL20,其他,-0.0606615570439439
2024-05-13,VOL20,其他,-0.2387299605104485
2024-06-11,VOL20,其他,-0.20767832335819658
2024-07-09,VOL20,其他,-0.11588447563306653
2024-08-06,VOL20,其他,-0.05690900003559194
2024-09-03,VOL20,其他,0.040221867000820394
