factor,mean_ic,tstat,pos_rate,pvalue,method
EP,-0.009676180312184417,-0.5282414107051572,0.4166666666666667,0.5998172795982137,spearman
BP,-0.026068387975860044,-1.015025662770824,0.375,0.3152905148608891,spearman
MOM20,-0.01675159928743171,-0.7166751310492698,0.4375,0.4771209565437531,spearman
MOM60,-0.029125329507942842,-1.1280622113672447,0.3958333333333333,0.26501932789991645,spearman
ROE,0.010820034448243738,0.5361778267714733,0.5625,0.5943643821470652,spearman
ROA,0.010820034448243738,0.5361778267714733,0.5625,0.5943643821470652,spearman
VOL20,0.005710559217973502,0.24276542076389,0.5208333333333334,0.8092434637225687,spearman
TURN20,-0.023255364081070932,-0.9948088309353713,0.5208333333333334,0.32492352393190305,spearman
LIQ20,-0.04115804375717319,-1.9609588505212838,0.4166666666666667,0.055824446167171526,spearman
GROWTH,0.018448060655450776,1.0504554237432924,0.5625,0.29888016050145416,spearman
REV5,-0.005352255344145446,-0.2773851413662718,0.5,0.7827008422259996,spearman
