regime,factor,ate,pvalue,n
bear,EP,0.006027043240446826,0.2663001686977226,1518
bear,BP,0.0018897322608873706,0.7078842710051693,1518
bear,MOM20,-0.01299857739923108,9.15395425173806e-06,1518
bear,MOM60,0.003808138857227579,0.19215398022247696,1518
bear,ROE,-0.001069742775843999,0.8111698438526679,1518
bear,ROA,-0.0010697427845732179,0.8111698565713747,1518
bear,VOL20,0.01089879243111846,0.0017913301755135135,1518
bear,TURN20,-0.00160332001666271,0.6396774307528741,1518
bear,LIQ20,-0.010335228407410255,0.0034697365035718563,1518
bear,GROWTH,-8.96223303457338e-05,0.9766697870041989,1518
bear,REV5,0.001679591128950288,0.5162317368442271,1518
neutral,EP,-0.00047874148614951255,0.9538636026099436,1207
neutral,BP,-0.016115132229445075,0.030092677505734074,1207
neutral,MOM20,0.011177668395036065,0.012429316038734626,1207
neutral,MOM60,-0.009055225167490938,0.03990680297850832,1207
neutral,ROE,-0.01410465599939114,0.037917732175900484,1207
neutral,ROA,-0.014104657034478668,0.03791773241524396,1207
neutral,VOL20,-0.005850203853068354,0.25225436233398424,1207
neutral,TURN20,0.0037421113136936373,0.4541255406803216,1207
neutral,LIQ20,0.0005700921044228097,0.9105052700331193,1207
neutral,GROWTH,0.008795832439277621,0.02569835316308076,1207
neutral,REV5,0.00766297765807991,0.0460219824352258,1207
bull,EP,-0.007397363336489883,0.2872815416755549,1193
bull,BP,-0.0009300317707067567,0.881686126780333,1193
bull,MOM20,0.006150431221883315,0.09248663718048111,1193
bull,MOM60,-0.009443146723669063,0.006418523922769402,1193
bull,ROE,-0.0012880281234727042,0.8264142151885442,1193
bull,ROA,-0.0012880282748234737,0.8264142078820091,1193
bull,VOL20,0.009941188333504299,0.011953673408080031,1193
bull,TURN20,0.005495105857108998,0.18064050900729117,1193
bull,LIQ20,0.005970699040702077,0.1474326375051065,1193
bull,GROWTH,-0.005298696450723946,0.11805454237499731,1193
bull,REV5,0.0008956969368152806,0.7829217741697082,1193
