factor,gamma,p_min,p_max,baseline_pvalue
TURN20,1.0,0.2854434443639082,0.2854434443639082,0.2854434443639082
TURN20,1.1,0.0001437591178730102,0.09634414864458615,0.2854434443639082
TURN20,1.2,2.892637240847762e-10,3.193622695753665e-05,0.2854434443639082
TURN20,1.3,0.0,1.0300687046053561e-10,0.2854434443639082
TURN20,1.4,0.0,0.0,0.2854434443639082
TURN20,1.5,0.0,0.0,0.2854434443639082
TURN20,1.6,0.0,0.0,0.2854434443639082
TURN20,1.7000000000000002,0.0,0.0,0.2854434443639082
TURN20,1.8,0.0,0.0,0.2854434443639082
TURN20,1.9,0.0,0.0,0.2854434443639082
TURN20,2.0,0.0,0.0,0.2854434443639082
VOL20,1.0,1.5038777334552833e-08,1.5038777334552833e-08,1.5038777404895134e-08
VOL20,1.1,0.0,0.003328643470502615,1.5038777404895134e-08
VOL20,1.2,0.0,0.6502296340012204,1.5038777404895134e-08
VOL20,1.3,0.0,0.06738697117506387,1.5038777404895134e-08
VOL20,1.4,0.0,7.983114916720879e-05,1.5038777404895134e-08
VOL20,1.5,0.0,3.2292482021745172e-09,1.5038777404895134e-08
VOL20,1.6,0.0,7.668661456311818e-15,1.5038777404895134e-08
VOL20,1.7000000000000002,0.0,0.0,1.5038777404895134e-08
VOL20,1.8,0.0,0.0,1.5038777404895134e-08
VOL20,1.9,0.0,0.0,1.5038777404895134e-08
VOL20,2.0,0.0,0.0,1.5038777404895134e-08
MOM60,1.0,0.0015841314265805373,0.0015841314265805373,0.0015841314265805887
MOM60,1.1,0.6666146830456912,3.769523582164425e-09,0.0015841314265805887
MOM60,1.2,0.03952570689744612,0.0,0.0015841314265805887
MOM60,1.3,1.3484423891707564e-05,0.0,0.0015841314265805887
MOM60,1.4,9.075296070193417e-11,0.0,0.0015841314265805887
MOM60,1.5,0.0,0.0,0.0015841314265805887
MOM60,1.6,0.0,0.0,0.0015841314265805887
MOM60,1.7000000000000002,0.0,0.0,0.0015841314265805887
MOM60,1.8,0.0,0.0,0.0015841314265805887
MOM60,1.9,0.0,0.0,0.0015841314265805887
MOM60,2.0,0.0,0.0,0.0015841314265805887
