factor,dominant_board,dominant_share,sutva_concern,board_shares
EP,ind_main_board,0.6305092486869148,高,"{'ind_main_board': 0.6305092486869148, 'ind_other': 0.009362868234756794, 'ind_sme': 0.21260561772094086, 'ind_star': 0.034482758620689655}"
BP,ind_main_board,0.6752683261018497,高,"{'ind_main_board': 0.6752683261018497, 'ind_other': 0.009819593514501028, 'ind_sme': 0.19387988125142727, 'ind_star': 0.0162137474309203}"
MOM20,ind_main_board,0.5540077643297556,高,"{'ind_main_board': 0.5540077643297556, 'ind_other': 0.004567252797442339, 'ind_sme': 0.2680977392098653, 'ind_star': 0.036081297099794477}"
MOM60,ind_main_board,0.5617720940854076,高,"{'ind_main_board': 0.5617720940854076, 'ind_other': 0.0063941539164192734, 'ind_sme': 0.2710664535282028, 'ind_star': 0.03174240694222425}"
ROE,ind_main_board,0.5738753139986298,高,"{'ind_main_board': 0.5738753139986298, 'ind_other': 0.010276318794245261, 'ind_sme': 0.26741265129024894, 'ind_star': 0.0296871431833752}"
VOL20,ind_main_board,0.5987668417446905,高,"{'ind_main_board': 0.5987668417446905, 'ind_other': 0.003653802237953871, 'ind_sme': 0.24617492578214203, 'ind_star': 0.03653802237953871}"
TURN20,ind_main_board,0.5460150719342316,高,"{'ind_main_board': 0.5460150719342316, 'ind_other': 0.009134505594884677, 'ind_sme': 0.26649920073076044, 'ind_star': 0.03585293445992236}"
LIQ20,ind_main_board,0.5832381822333866,高,"{'ind_main_board': 0.5832381822333866, 'ind_other': 0.0006850879196163508, 'ind_sme': 0.2322448047499429, 'ind_star': 0.03197076958209637}"
GROWTH,ind_main_board,0.4567070435172723,中,"{'ind_main_board': 0.4567070435172723, 'ind_other': 0.016150740242261104, 'ind_sme': 0.2759084791386272, 'ind_star': 0.0639300134589502}"
REV5,ind_main_board,0.5446448960949989,高,"{'ind_main_board': 0.5446448960949989, 'ind_other': 0.002511989038593286, 'ind_sme': 0.2765471568851336, 'ind_star': 0.03562457182005024}"
